v1,v2
1,52
1,257
1,684
1,508
1,778
1,1094
3,507
3,510
3,840
3,894
3,944
3,1048
3,25
3,681
3,1056
3,977
4,47
4,259
4,1081
4,1098
4,842
4,97
6,298
6,322
6,755
6,947
6,975
6,249
6,601
6,624
7,337
7,380
7,387
7,564
7,684
7,762
7,812
7,255
7,524
7,653
7,289
7,547
7,718
7,1092
8,114
8,295
8,498
8,957
8,383
8,723
13,38
13,94
13,284
13,375
13,658
13,665
13,810
13,887
13,944
16,78
16,131
16,215
16,284
16,312
16,326
16,518
16,575
16,1046
16,1053
16,639
16,811
16,702
16,857
17,296
17,362
17,932
17,1063
17,2
17,56
17,84
17,164
17,685
17,959
17,883
24,92
24,173
24,227
24,395
24,487
24,905
28,120
28,347
28,512
28,545
28,593
28,747
28,866
28,974
28,1001
28,68
28,739
28,289
29,150
29,443
29,554
29,564
29,699
29,700
29,919
29,218
31,152
31,191
31,317
31,630
31,658
31,696
31,821
31,924
31,621
31,1020
32,593
32,829
32,1046
32,873
32,314
32,689
34,37
34,236
34,405
34,789
34,805
34,988
34,299
34,552
34,797
34,121
34,97
35,52
35,252
35,392
35,637
35,99
35,1053
35,690
37,183
37,315
37,555
37,637
37,758
37,963
37,178
38,52
38,90
38,241
38,293
38,342
38,502
38,527
38,627
38,628
38,21
38,71
38,928
40,63
40,631
40,965
40,383
40,424
40,993
40,1080
40,358
41,63
41,355
41,648
41,941
41,341
41,534
41,1080
41,471
46,165
46,618
46,747
46,771
46,802
46,954
46,1100
46,276
46,417
46,719
46,740
46,461
47,70
47,150
47,298
47,894
47,100
49,127
49,149
49,322
49,375
49,699
49,788
49,1001
49,1016
49,25
49,33
49,230
49,752
51,64
51,188
51,294
51,522
51,554
51,672
51,793
51,832
51,931
51,492
51,542
52,402
52,498
52,628
52,745
52,764
52,2
52,446
52,703
52,978
54,428
54,476
54,587
54,1073
54,68
54,172
54,407
54,417
54,671
54,369
54,358
55,443
55,573
55,2
55,491
55,458
58,307
58,575
58,984
58,1076
58,552
58,638
58,770
58,869
58,967
58,868
59,101
59,236
59,580
59,890
59,986
59,1027
59,1090
59,118
59,714
59,875
59,876
59,336
59,436
60,126
60,189
60,241
60,342
60,537
60,1011
60,1097
60,161
60,276
60,450
60,772
60,1053
60,242
63,152
63,286
63,434
63,694
63,724
63,968
63,585
63,967
64,131
64,1005
64,1019
64,209
64,826
64,1070
65,195
65,379
65,388
65,489
65,512
65,673
65,911
65,1098
65,552
66,176
66,322
66,326
66,666
66,801
66,882
66,601
66,914
66,211
70,123
70,382
70,404
70,647
70,743
70,718
70,978
72,298
72,375
72,396
72,434
72,443
72,564
72,691
72,185
72,386
72,900
72,1046
72,1053
72,938
78,156
78,284
78,735
78,755
78,782
78,1027
78,276
78,455
78,440
81,347
81,529
81,957
81,1007
81,455
81,685
81,990
81,695
81,670
85,146
85,512
85,522
85,573
85,725
85,838
85,893
85,930
85,185
85,857
85,1064
87,105
87,257
87,310
87,476
87,523
87,747
87,762
87,865
87,934
87,988
87,230
87,569
87,914
90,92
90,448
90,510
90,567
90,1058
90,552
90,888
92,112
92,141
