v1,v2
2,221
3,128
3,61
4,21
4,151
5,74
5,134
5,200
5,168
5,61
6,127
6,128
6,160
7,12
7,147
7,214
7,73
7,241
8,124
8,67
9,204
9,104
10,25
10,175
10,234
11,192
12,32
12,158
12,219
13,40
13,84
13,115
13,126
14,63
14,128
14,37
14,87
14,234
16,74
16,122
16,109
16,155
16,159
16,152
17,111
17,55
18,120
18,37
18,196
18,237
20,47
20,138
20,151
20,158
20,186
21,229
21,129
21,107
23,201
23,233
24,92
24,236
25,52
25,54
25,205
25,225
26,84
26,128
26,200
26,187
27,169
28,124
28,236
30,32
30,49
30,59
30,85
30,39
31,111
31,168
32,47
32,63
32,190
32,220
33,164
33,194
33,136
34,49
34,133
34,19
35,44
35,115
35,175
36,54
36,120
36,37
36,152
37,92
37,110
37,170
37,71
37,81
37,221
39,233
40,94
40,183
41,98
41,182
41,187
41,201
42,88
42,98
42,188
42,214
42,239
42,242
42,110
42,185
44,79
44,113
44,133
44,171
44,188
44,190
45,120
45,128
45,175
47,88
47,178
47,192
47,216
48,225
48,228
49,58
49,97
49,132
49,172
49,226
49,15
49,73
49,124
49,215
49,71
49,197
49,240
49,196
50,161
50,213
50,105
50,83
52,69
52,158
53,121
53,161
53,168
53,174
54,116
54,229
54,107
56,100
56,92
56,211
56,185
57,64
57,81
58,85
58,133
58,181
58,231
58,48
59,84
59,169
59,177
59,214
59,226
59,110
60,74
60,138
60,194
60,210
60,215
61,129
62,125
62,132
62,205
63,115
63,37
63,197
64,232
65,101
65,230
65,145
65,208
65,71
65,39
66,111
66,22
68,156
69,119
69,214
69,187
69,22
70,101
70,210
70,241
71,129
71,136
72,111
73,130
74,217
74,72
75,86
75,225
76,86
76,97
76,125
76,55
76,240
79,100
79,134
79,171
79,99
79,199
79,71
79,67
82,134
82,213
82,31
82,241
82,221
83,163
84,191
85,127
85,158
85,1
85,196
87,137
87,201
88,17
88,116
88,61
88,129
88,233
89,31
89,175
89,192
90,203
90,72
91,165
91,68
92,116
92,204
92,225
92,71
93,213
94,132
94,19
95,129
95,183
96,106
96,158
97,192
98,115
98,134
98,146
98,179
98,130
100,126
100,22
100,240
101,105
101,46
101,162
102,190
102,210
102,192
103,231
103,126
103,129
105,234
108,225
110,145
110,83
111,174
111,71
111,137
112,121
112,144
112,205
112,92
112,149
113,122
113,138
113,146
113,19
113,178
115,120
115,123
115,190
115,218
115,230
115,68
115,149
115,182
115,202
115,71
115,183
115,67
116,207
116,183
117,149
118,132
118,138
118,107
119,166
119,203
121,161
121,238
121,212
122,107
123,128
124,236
125,219
126,61
126,46
126,184
127,139
127,140
128,148
128,19
128,95
128,108
128,130
128,78
129,22
129,67
131,135
131,48
131,168
131,228
131,107
132,154
132,173
132,185
132,197
133,158
133,242
133,206
134,233
134,104
134,184
135,209
135,231
135,136
137,39
138,223
138,232
138,87
138,92
138,149
138,156
138,204
138,71
139,217
139,170
139,233
140,193
140,203
140,219
141,168
142,179
142,191
142,215
142,159
142,197
143,213
143,152
144,177
144,72
144,105
144,111
146,31
146,111
146,196
147,180
148,200
149,208
149,77
149,240
150,111
151,189
151,232
151,240
154,158
154,198
156,187
157,158
158,186
158,195
158,219
158,238
158,141
158,207
158,211
158,71
160,188
160,195
160,15
160,46
161,198
161,83
164,195
164,215
165,176
165,183
166,193
166,38
166,92
168,192
168,71
169,177
169,51
170,187
170,129
171,238
171,196
172,99
172,178
173,92
174,61
176,95
176,225
176,83
177,19
177,77
179,116
179,126
179,178
180,212
185,136
185,67
188,213
188,136
189,217
190,213
190,207
191,159
194,192
195,238
195,212
195,206
198,214
199,222
200,129
203,92
203,126
203,159
205,212
207,196
209,238
209,37
209,111
209,145
210,239
210,168
210,212
210,183
212,129
213,238
213,237
214,23
214,83
214,71
214,80
215,162
217,239
217,72
217,235
217,71
217,137
219,67
223,231
223,159
223,183
225,61
226,28
226,216
227,19
227,207
227,77
227,136
228,221
228,129
228,107
231,116
231,129
231,206
232,1
232,95
234,183
238,92
238,124
238,130
238,61
239,225
