v1,v2
243,309
243,444
243,524
243,669
244,497
251,381
253,326
253,668
253,381
254,632
254,518
255,455
256,269
256,512
259,442
259,551
261,374
262,353
262,401
263,477
264,638
264,673
264,476
264,613
265,360
265,422
266,326
266,649
267,311
268,277
269,282
269,330
269,604
269,543
269,407
270,649
272,422
272,607
272,257
274,324
276,586
278,658
281,580
283,551
284,383
287,505
287,651
288,291
288,453
288,589
288,267
288,424
288,629
289,589
292,530
292,540
292,604
297,376
297,559
302,304
303,504
303,535
303,604
303,463
303,274
306,658
307,325
307,423
309,515
315,458
316,322
319,637
320,424
322,395
322,627
322,424
322,337
323,347
323,270
326,403
326,540
326,438
328,553
329,515
329,613
330,402
330,489
330,497
330,525
330,547
330,568
330,301
330,349
330,659
333,505
337,629
341,584
342,433
342,577
344,393
347,379
351,456
353,515
357,605
357,615
357,661
361,461
362,413
363,622
364,433
365,536
365,515
368,521
370,582
375,531
376,453
376,584
376,608
376,559
378,505
379,283
382,477
383,514
385,555
386,268
389,612
394,559
395,640
395,383
395,559
398,430
398,456
400,479
400,261
403,510
404,283
409,612
412,664
417,608
417,374
419,450
419,632
419,370
420,478
421,453
423,472
423,449
426,353
433,371
433,490
434,542
434,301
436,471
443,547
443,650
447,515
448,640
450,552
450,668
452,624
453,518
453,270
455,477
455,257
458,612
458,615
458,383
458,505
458,543
458,445
458,338
460,584
464,482
465,665
466,311
471,348
472,544
472,274
473,675
475,609
475,257
476,251
477,360
481,374
482,492
489,672
495,631
497,277
500,584
503,515
507,515
507,486
508,586
513,548
513,475
515,274
530,383
530,301
533,571
533,575
537,424
538,584
538,602
540,546
541,575
541,607
543,607
545,654
546,643
546,630
546,661
557,566
557,614
560,582
562,584
563,650
566,515
567,584
567,636
571,599
573,584
573,605
574,475
574,595
574,414
578,424
578,520
580,270
582,270
584,588
584,641
585,654
585,261
586,627
586,279
586,413
589,650
599,505
600,320
600,391
601,251
602,368
604,654
605,627
605,495
605,339
608,348
610,406
611,261
612,340
614,279
614,352
615,422
620,434
623,641
626,350
627,559
634,487
634,414
638,495
641,639
650,495
650,564
654,277
661,331
665,424
668,607
672,405
672,607
672,251
673,277
